Individual,1,2,3,4
Individual1.1,0.146466508,0.01911532,-0.136171107,-0.083665822
Individual1.2,0.324918263,-0.032707444,0.017122724,0.005457917
Individual1.3,0.216951478,0.001486566,-0.081013127,-0.070374244
Individual1.4,0.133532478,0.013838929,-0.06173079,0.046909511
Individual1.5,0.163047931,-0.042687996,-0.017760096,-0.002285041
Individual1.6,0.263125652,-0.111505399,0.126196305,-0.263307697
Individual1.7,0.194882401,0.027143798,-0.035865291,0.075927486
Individual1.8,0.315108943,0.002771616,0.045031666,0.113240636
Individual1.9,0.259905182,-0.014359573,-0.035307701,0.050176844
Individual1.10,0.281287794,0.027439889,-0.03168212,0.104374745
Individual1.11,0.237716693,0.035006047,-0.029776123,0.141070161
Individual1.12,0.198910526,0.024279296,-0.109714948,-0.057186319
Individual1.13,0.360972265,-0.097279653,0.154185715,-0.047205996
Individual1.14,0.243429777,0.002521243,-0.044522925,0.094868704
Individual1.15,0.193422755,0.016295356,-0.015463972,0.124725869
Individual1.16,0.299784626,-0.028365344,-0.051651832,-0.009184248
Individual1.17,0.28698731,-0.003516132,0.037215894,0.024868938
Individual1.18,0.401500962,-0.104325011,0.11080734,-0.049311703
Individual1.19,0.112450048,0.05601527,-0.107768422,-0.081608643
Individual1.20,0.329203937,-0.03172291,-0.079914504,-0.018146748
Individual1.21,0.323448411,0.035031849,0.007783717,0.103520829
Individual1.22,0.241483152,0.00637286,-0.051895442,0.05968209
Individual1.23,0.218860806,0.007596355,-0.011022512,0.139566354
Individual1.24,0.296187141,-0.000371969,0.010934858,0.055015013
Individual1.25,0.219671018,-0.069646995,0.03976326,-0.149377787
Individual1.26,0.322456965,-0.00381042,-0.01360584,0.029642243
Individual1.27,0.223005625,-0.123497776,0.115150948,-0.233900133
Individual1.28,0.256161813,-0.010918056,-0.019465559,-0.057456018
Individual1.29,0.257945805,-0.067735941,0.098815511,-0.097611805
Individual1.30,0.34247703,0.005425384,0.013923411,0.059873171
Individual1.31,0.295957021,-0.096901151,0.085413052,-0.170390726
Individual1.32,0.375335365,-0.093183106,0.112299096,-0.077909322
Individual1.33,0.232304236,0.05930433,-0.018013102,0.107187145
Individual1.34,0.260929553,0.067693688,0.022968397,0.110318537
Individual1.35,0.327557751,-0.034000297,0.080404634,0.02857929
Individual1.36,0.303220318,-0.022642738,0.015330705,-0.012866332
Individual1.37,0.200404152,0.022873058,0.024598592,0.071080086
Individual1.38,0.280870565,0.008499659,-0.002471483,0.06612667
Individual1.39,0.157742333,0.074467091,-0.055804195,0.006604276
Individual1.40,0.261329452,-0.103909195,0.126255875,-0.036098178
Individual2.1,-0.078925994,0.018160479,-0.193355424,-0.017477358
Individual2.2,-0.218101663,-0.091683385,0.063601103,-0.057131091
Individual2.3,-0.071572029,-0.031028513,-0.259952335,0.008014759
Individual2.4,-0.190025261,-0.163756658,-0.167468766,-0.089162988
Individual2.5,-0.124891349,-0.064095875,-0.255399003,0.002111341
Individual2.6,-0.235537503,-0.162244662,0.068696526,0.024764149
Individual2.7,-0.046731684,-0.102359223,-0.21866154,-0.089830865
Individual2.8,-0.145454611,-0.019748864,-0.190102919,0.018133579
Individual2.9,-0.133000602,-0.119026637,0.034362035,0.013714682
Individual2.10,-0.223245266,-0.081354018,-0.021429748,0.026525737
Individual2.11,-0.171522145,-0.137762048,-0.028791306,0.058327473
Individual2.12,-0.165847675,-0.102021125,-0.163374821,-0.017719273
Individual2.13,-0.235343338,-0.14998978,0.059830076,0.107445811
Individual2.14,-0.190226575,-0.197864479,0.027292955,0.057122678
Individual2.15,-0.262587247,-0.102591031,0.07121653,0.042682754
Individual2.16,-0.154149475,-0.133305897,0.128911287,0.139630069
Individual2.17,-0.205621551,-0.059964716,-0.08431799,-0.020013735
Individual2.18,-0.233381624,-0.101035264,-0.029716303,0.044401026
Individual2.19,-0.183877339,-0.078836342,0.066125791,0.008507772
Individual2.20,-0.16469333,-0.13837032,-0.245098225,-0.030800207
Individual2.21,-0.145173068,-0.050328322,-0.053495975,0.034233021
Individual2.22,-0.242268855,-0.136107606,0.007296441,0.073140273
Individual2.23,-0.241319312,-0.090300564,-0.056054451,-0.017387603
Individual2.24,-0.142360713,-0.100037581,-0.246415153,-0.033933317
Individual2.25,-0.226875948,-0.25175467,0.174146201,0.098769085
Individual2.26,-0.248854337,-0.181240832,0.090787154,0.142195268
Individual2.27,-0.264642012,-0.12804791,0.188123161,0.221464413
Individual2.28,-0.245714068,-0.104297515,0.060221789,0.032585421
Individual2.29,-0.228868499,-0.126065599,-0.043772504,0.022041784
Individual2.30,-0.20766412,-0.210066083,0.031393556,-0.027977116
Individual2,-0.118226149,-0.181541166,-0.10456419,-0.082055624
Individual3.1,-0.045274687,0.173004104,-0.080757814,0.031224801
Individual3.2,-0.19118363,0.041199203,0.046428684,-0.056042907
Individual3.3,-0.148932304,0.123963036,0.092963463,0.044900359
Individual3.4,-0.109810077,0.115526418,-0.07146573,-0.020899572
Individual3.5,-0.09079776,0.118431834,-0.069921263,0.008364845
Individual3.6,-0.1385123,0.083006048,-0.017959849,-0.026157743
Individual3.7,-0.149726657,0.163447649,-0.011257273,-0.057424345
Individual3.8,-0.198773933,0.01073988,0.029337499,-0.107401856
Individual3.9,-0.081214703,0.22270225,0.018046754,-0.017828349
Individual3.10,-0.165372886,0.123988737,0.054740835,-0.062026862
Individual3.11,-0.228488086,0.042617308,0.146504938,-0.072858175
Individual3.12,-0.146939552,0.054618025,-0.087757103,-0.049015947
Individual3.13,-0.211786841,0.170132662,0.144692376,0.015909657
Individual3.14,-0.15853553,0.136268286,0.006954787,-0.06428678
Individual3.15,-0.135634078,0.142330385,0.12676463,0.032597771
Individual3.16,-0.118769568,0.169166261,-0.000467835,0.00911668
Individual3.17,0.011026944,0.195585979,-0.055742277,-0.009409798
Individual3.18,-0.031541207,0.229625949,-0.042357928,-0.001958741
Individual3.19,-0.136407585,0.138933713,0.003207753,0.006611799
Individual3.20,-0.192073759,0.042629917,0.003727893,-0.023377067
Individual3.21,-0.108365269,0.198129939,-0.050879259,-0.00196423
Individual3.22,-0.209652324,0.067054403,0.178165388,-0.042125636
Individual3.23,-0.152727823,0.094969361,-0.043424888,0.021526207
Individual3.24,-0.129473465,0.132884282,0.093249305,0.000107608
Individual3.25,-0.172054509,0.041934135,0.004847233,-0.067599877
Individual3.26,-0.099959146,0.194166341,0.01059473,0.082936206
Individual3.27,-0.086479694,0.247867406,0.005684167,-0.001738606
Individual3.28,-0.171598024,0.07718138,0.029057247,-0.132612139
Individual3.29,-0.173638298,0.151371088,0.080631061,0.00531905
Individual3.30,-0.100620302,0.154945003,0.087892946,-0.001074728
Individual3.31,-0.203403988,-0.002843949,0.163082516,-0.12546863
Individual3.32,-0.11094472,0.226162757,0.02330851,-0.007496002
Individual3.33,-0.226584938,0.076835921,0.238493945,-0.103098669
